Holder,Shares,Date Reported,% Out,Value
"Vanguard Group, Inc. (The)",33421754,2021-12-30,0.06570000000000001,111439491232
Blackrock Inc.,28717802,2021-12-30,0.0564,95754915920
State Street Corporation,17021616,2021-12-30,0.0335,56755855093
Price (T.Rowe) Associates Inc,16139535,2021-12-30,0.0317,53814697131
"FMR, LLC",15576396,2021-12-30,0.030600000000000002,51937000238
"Geode Capital Management, LLC",7193360,2021-12-30,0.0141,23985107982
Northern Trust Corporation,4925881,2021-12-30,0.0097,16424562053
JP Morgan Chase & Company,4602792,2021-12-30,0.009000000000000001,15347273477
Capital Research Global Investors,4574546,2021-12-30,0.009000000000000001,15253091709
Morgan Stanley,4247287,2021-12-30,0.0083,14161898935
