Holder,Shares,Date Reported,% Out,Value
Vanguard Total Stock Market Index Fund,12250556,2021-12-30,0.0241,40847518893
Vanguard 500 Index Fund,9236449,2021-12-30,0.0182,30797461358
SPDR S&P 500 ETF Trust,4634212,2022-01-30,0.0091,13863106171
Fidelity 500 Index Fund,4399126,2022-01-30,0.0086,13159853455
"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",4234693,2022-01-30,0.0083,12667957068
Growth Fund Of America Inc,3908886,2021-11-29,0.0077,13708736824
iShares Core S&P 500 ETF,3608668,2021-12-30,0.0070999999999999995,12032526059
Vanguard Growth Index Fund,3421708,2021-12-30,0.0067,11409137852
Fidelity Contrafund Inc,3304868,2022-01-30,0.006500000000000001,9886413475
Vanguard Institutional Index Fund-Institutional Index Fund,3286270,2021-12-30,0.006500000000000001,10957541511
